Unnamed: 0,count,mean,std,min,25%,50%,75%,max
1,1178.0,0.16190322580645178,0.8151809176512573,0.0,0.0,0.0,0.01145,11.643
2,1073.0,0.14583793103448278,0.6098196904314219,0.0,0.0,0.0,0.0189,8.1502
3,1178.0,0.18176952461799653,0.7793330486449445,0.0,0.0,0.0,0.01765,14.4313
4,1140.0,0.22451052631578938,0.9326924882048396,0.0,0.0,0.0,0.026325,14.1818
5,1178.0,0.24502979626485566,0.9227129053112895,0.0,0.0,0.0,0.06625,20.3732
6,1140.0,0.24537903508771924,0.9326802777100399,0.0,0.0,0.0,0.0553,17.7875
7,1178.0,0.21840144312393922,0.8227403808699139,0.0,0.0,0.00015000000000000001,0.07845,14.8706
8,1178.0,0.16322631578947402,0.6937409809645704,0.0,0.0,0.0,0.0351,13.3037
9,1140.0,0.3155346491228071,1.7093078129580217,0.0,0.0,0.0,0.011175000000000001,26.9394
10,1178.0,0.18504617996604425,0.9793010409341388,0.0,0.0,0.0,0.000875,20.4132
11,1140.0,0.19534736842105296,0.8984774425098041,0.0,0.0,0.0,0.0029249999999999996,14.6183
12,1178.0,0.11403463497453313,0.454049072917877,0.0,0.0,0.0,0.013474999999999999,7.0892
